TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Drip Score,Core,Drip Grade,Number,Face Decoration,Hat,Glasses,Necklace,Earring
0,Milady 0,tennis,clay,teary,lilac,sweater and tie,og orange,anime chest tattoo,25,prep,normal,0,,,,,
1,Milady 1,bjork,pale,classic,green,pink knit polo,tuft green,,30,prep-gyaru,b-drip,1,nose ring silver,white cowboy hat,,,
2,Milady 2,mountain,pink,teary,green,chore coat,bowl brown,,20,hypebeast,normal,2,,,,,
3,Milady 3,clouds,pink,sparkle,brown,cactus shirt,tuft purple,,34,gyaru,b-drip,3,,trucker anime,,,
4,Milady 4,bushland,pink,classic,blue,green blazer,bowl green,,18,prep,normal,4,,,prescription glasses,,
5,Milady 5,mountain,pale,sleepy,green,blue ribbon tank,og green,,22,gyaru,normal,5,,,,evil eye necklace,
6,Milady 6,sunset,clay,sparkle,blue,hikki condition shirt,bowl brown,,16,gyaru,normal,6,,,,,
7,Milady 7,bjork,pink,teary,green,meedles tracksuit,og black,,35,hypebeast-harajuku,a-drip,7,,fez,,,double safety pins
8,Milady 8,sonora,clay,dilated,brown,silk shirt,tuft dark,,32,hypebeast-gyaru,b-drip,8,snakebites,backwards trucker pink,,,
9,Milady 9,roadside,tan,sparkle,aqua,sailor lolita,bowl blue,,26,lolita,c-drip,9,,,,,
10,Milady 10,sunset,clay,crying,blue,red puffer,og black,,17,lolita-hypebeast,normal,10,,maid hat,,,
11,Milady 11,mountain,clay,heart eyes,blue,red puffer,short pink,castle neck tattoo,38,hypebeast,a-drip,11,,trucker gothic milady,,,
12,Milady 12,casino,pink,classic,blue,kogal cardigan,short orange,,28,prep,c-drip,12,crescent tattoo,,,,
13,Milady 13,sunset,pale,classic,brown,peter pan collar shirt,og orange,,14,lolita,normal,13,nose ring gold,,,,
14,Milady 14,bushland,tan,dilated,brown,mape hoodie,braid black,,31,hypebeast-gyaru,b-drip,14,,aloha visor,,,
15,Milady 15,bushland,clay,classic,blue,im cute im punk shirt,braid green,,35,gyaru,a-drip,15,gucci cone tattoo,,,,heart pearls earring
