TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Core,Drip Grade,Face Decoration,Hat,Glasses,Necklace,Earring
0,Milady 0,tennis,clay,teary,lilac,sweater and tie,og orange,anime chest tattoo,prep,normal,,,,,
1,Milady 1,bjork,pale,classic,green,pink knit polo,tuft green,,prep-gyaru,b-drip,nose ring silver,white cowboy hat,,,
2,Milady 2,mountain,pink,teary,green,chore coat,bowl brown,,hypebeast,normal,,,,,
3,Milady 3,clouds,pink,sparkle,brown,cactus shirt,tuft purple,,gyaru,b-drip,,trucker anime,,,
4,Milady 4,bushland,pink,classic,blue,green blazer,bowl green,,prep,normal,,,prescription glasses,,
5,Milady 5,mountain,pale,sleepy,green,blue ribbon tank,og green,,gyaru,normal,,,,evil eye necklace,
6,Milady 6,sunset,clay,sparkle,blue,hikki condition shirt,bowl brown,,gyaru,normal,,,,,
7,Milady 7,bjork,pink,teary,green,meedles tracksuit,og black,,hypebeast-harajuku,a-drip,,fez,,,double safety pins
8,Milady 8,sonora,clay,dilated,brown,silk shirt,tuft dark,,hypebeast-gyaru,b-drip,snakebites,backwards trucker pink,,,
9,Milady 9,roadside,tan,sparkle,aqua,sailor lolita,bowl blue,,lolita,c-drip,,,,,
10,Milady 10,sunset,clay,crying,blue,red puffer,og black,,lolita-hypebeast,normal,,maid hat,,,
11,Milady 11,mountain,clay,heart eyes,blue,red puffer,short pink,castle neck tattoo,hypebeast,a-drip,,trucker gothic milady,,,
12,Milady 12,casino,pink,classic,blue,kogal cardigan,short orange,,prep,c-drip,crescent tattoo,,,,
13,Milady 13,sunset,pale,classic,brown,peter pan collar shirt,og orange,,lolita,normal,nose ring gold,,,,
14,Milady 14,bushland,tan,dilated,brown,mape hoodie,braid black,,hypebeast-gyaru,b-drip,,aloha visor,,,
15,Milady 15,bushland,clay,classic,blue,im cute im punk shirt,braid green,,gyaru,a-drip,gucci cone tattoo,,,,heart pearls earring
16,Milady 16,bjork,pink,sleepy,green,knit sweater,bowl black,,prep,normal,,,,,
17,Milady 17,nagano,clay,smug,grey,super lover shirt,og black,,gyaru,normal,nose ring gold,,,,
18,Milady 18,tennis,clay,dilated,green,sheep pullover,og black,,prep,c-drip,,plaid bonnet,,,
19,Milady 19,mountain,clay,dilated,brown,bear sweater,bowl green,,prep-gyaru,normal,,trucker construction,round glasses,,
20,Milady 20,sunrise,tan,sleepy,blue,kogal cardigan,braid green,,prep,normal,,,,,
21,Milady 21,sunset,pale,closed,blue,meedles tracksuit,short pink,,prep-hypebeast,b-drip,,beret,round glasses,,
22,Milady 22,sunset,clay,sleepy,brown,peter pan collar shirt,tuft purple,,lolita,normal,,,,,
23,Milady 23,clouds,clay,crying,blue,sailor lolita,bowl slate,,lolita,c-drip,temple cross tattoo,,round glasses,,
24,Milady 24,bushland,pale,sleepy,green,western jacket,bowl brown,,hypebeast,normal,,,round glasses,,
25,Milady 25,roadside,clay,sparkle,green,mouse tank,braid black,,gyaru,normal,snakebites,,,milady beads,
26,Milady 26,streets,pink,sparkle,blue,football shirt,short orange,,hypebeast,b-drip,,,,,
27,Milady 27,sunset,clay,classic,blue,western jacket,og black,,hypebeast,normal,,,,,double safety pins
28,Milady 28,sunset,black,sparkle,green,im cute im punk shirt,short pink,,harajuku-gyaru,ss-drip,,heihei hat,,,cherry earring
29,Milady 29,clouds,pale,dilated,green,leopard polo,bowl black,,gyaru,c-drip,star heart tattoo,,,mestwood pearl necklace,
30,Milady 30,mountain,clay,sparkle,brown,cactus shirt,braids harajuku dye,,hypebeast-gyaru,b-drip,,meedles headband,,,
31,Milady 31,sunrise,pale,classic,brown,goth poncho,og frosted blonde,,lolita-prep,a-drip,,tennis visor,,,loop chain earring
32,Milady 32,sunset,pale,sparkle,brown,maid,bowl purple,,lolita-harajuku,b-drip,,bandana,,,dual rings silver
